ID,Group,Age,Sex,Total_words_expected,Words_missing_at_end,Final_word_count
C1_DS,AWNS,26,M,237,3,234
C2_JH,AWNS,33,F,237,9,228
C3_MD,AWNS,30,M,237,0,237
C4_ZO,AWNS,23,M,237,0,237
C5_HL,AWNS,22,F,237,0,237
C6_LH,AWNS,22,F,237,0,237
C7_SH,AWNS,26,F,237,1,236
C9_RD,AWNS,33,F,237,0,237
C10_KS,AWNS,23,F,237,0,237
C11_NP,AWNS,28,F,237,0,237
C12_CC,AWNS,35,M,237,0,237
C13_RG,AWNS,63,M,237,0,237
C14_YJ,AWNS,35,F,237,0,237
C16_FK,AWNS,26,M,237,1,236
C17_AC,AWNS,46,M,237,3,234
C18_CA,AWNS,32,M,237,0,237
C19_CU,AWNS,33,M,237,0,237
C20_MM,AWNS,36,M,237,3,234